city_ascii,country,admin_name,lat,lng,CoL index,beach,mountain,cultural,wildlife,nightlife,festival
Hamilton,Bermuda,,32.2942,-64.7839,135.1,True,False,False,False,False,False
Zurich,Switzerland,,47.3744,8.5411,125.2,False,True,True,False,False,False
Basel,Switzerland,,47.5547,7.5906,124.3,False,True,True,False,False,False
Lausanne,Switzerland,,46.5198,6.6335,120.8,False,True,True,False,False,False
San Jose,United States,California,37.3012,-121.848,115.1,False,False,False,False,True,False
San Francisco,United States,California,37.7558,-122.4449,113.2,False,False,True,False,True,False
Geneva,Switzerland,,46.2017,6.1469,111.8,False,True,True,False,True,False
Bern,Switzerland,,46.9481,7.4475,110.1,False,True,True,False,False,False
Seattle,United States,Washington,47.6211,-122.3244,105.2,False,False,True,False,True,False
Washington,United States,District Of Columbia,38.9047,-77.0163,102.8,False,False,True,False,True,False
New York,United States,New York,40.6943,-73.9249,100.0,False,False,True,False,True,False
Honolulu,United States,Hawaii,21.3294,-157.846,95.1,True,False,True,False,False,False
Los Angeles,United States,California,34.1141,-118.4068,94.9,False,False,True,False,True,False
Atlanta,United States,Georgia,33.7628,-84.422,93.7,False,False,True,False,True,False
Boston,United States,Massachusetts,42.3188,-71.0852,93.4,False,False,True,False,True,False
Sacramento,United States,California,38.5677,-121.4685,90.1,False,False,False,False,True,False
Canberra,Australia,,-35.2931,149.1269,89.5,False,False,False,True,False,False
San Diego,United States,California,32.8313,-117.1222,89.2,True,False,False,False,False,False
Chicago,United States,Illinois,41.8375,-87.6866,89.1,False,False,True,False,False,False
Reykjavik,Iceland,,64.1467,-21.94,89.0,False,True,False,False,False,False
Trondheim,Norway,,63.4297,10.3933,88.3,False,True,False,False,False,False
Bergen,Norway,,60.3894,5.33,87.0,False,True,False,False,False,False
Stavanger,Norway,,58.97,5.7314,84.0,False,True,False,False,False,False
Adelaide,Australia,,-34.9275,138.6,83.7,True,False,False,False,False,False
London,United Kingdom,,51.5072,-0.1275,83.1,False,False,True,False,False,False
Denver,United States,Colorado,39.762,-104.8758,83.1,False,True,False,False,False,False
